	Запросы	URL перехода выдачи	Разница переходов
8	xbox one	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475556/	-182.0
2	ps4	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-154.0
9	нинтендо свитч	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-141.0
17	nintendo switch	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-116.0
4	сони плейстейшен 4	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-115.0
16	xbox one купить	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475556/	-113.0
24	xbox one s купить	https://eldorado.ru/c/vse-igrovye-pristavki/	-104.0
35	ps4 pro	https://eldorado.ru/c/vse-igrovye-pristavki/tag/ps-4-pro/	-77.0
27	игровая приставка	https://eldorado.ru/c/vse-igrovye-pristavki/	-62.0
15	нинтендо свитч купить	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-59.0
25	игровые приставки для телевизора	https://eldorado.ru/c/vse-igrovye-pristavki/	-58.0
37	playstation 4 pro	https://eldorado.ru/c/vse-igrovye-pristavki/tag/ps-4-pro/	-56.0
22	игровые приставки	https://eldorado.ru/c/vse-igrovye-pristavki/	-52.0
39	купить нинтендо свитч	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-46.0
48	sony playstation 4 pro	https://eldorado.ru/c/vse-igrovye-pristavki/tag/ps-4-pro/	-40.0
12	ps4 pro купить	https://eldorado.ru/c/vse-igrovye-pristavki/tag/ps-4-pro/	-36.0
47	купить сони плейстейшен 4 про	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-32.0
42	купить xbox one	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475556/	-32.0
40	плейстейшен 4 про купить	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-31.0
33	sony playstation 4 pro купить	https://eldorado.ru/c/vse-igrovye-pristavki/tag/ps-4-pro/	-31.0
11	nintendo switch купить	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-31.0
53	купить xbox one s	https://eldorado.ru/c/vse-igrovye-pristavki/	-25.0
45	игровые консоли	https://eldorado.ru/c/vse-igrovye-pristavki/	-24.0
46	xbox one цена	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475556/	-23.0
54	купить пс 4 про	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-22.0
5	плейстейшен 4	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-19.0
51	купить плейстейшен 4 про	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-19.0
50	купить nintendo switch	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-17.0
36	пс4	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-17.0
49	игровая консоль	https://eldorado.ru/c/vse-igrovye-pristavki/	-15.0
60	игровая приставка для телевизора	https://eldorado.ru/c/vse-igrovye-pristavki/	-14.0
44	сони плейстейшен 4 про купить	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-14.0
30	ps 4	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-13.0
41	купить игровую приставку	https://eldorado.ru/c/vse-igrovye-pristavki/	-12.0
68	пс4 про купить	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-11.0
64	игровые приставки для телевизора цена	https://eldorado.ru/c/vse-igrovye-pristavki/	-10.0
66	нинтендо свитч цена	https://eldorado.ru/c/vse-igrovye-pristavki/f/482140342/	-9.0
72	купить приставку	https://eldorado.ru/c/vse-igrovye-pristavki/	-9.0
75	плейстейшен 4 купить в новосибирске	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-9.0
61	сони плейстейшен 4 купить в спб	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-8.0
67	купить playstation 4 pro	https://eldorado.ru/c/vse-igrovye-pristavki/tag/ps-4-pro/	-8.0
56	приставка игровая	https://eldorado.ru/c/vse-igrovye-pristavki/	-7.0
82	купить пс4 про	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-7.0
77	ps4 купить в москве	https://eldorado.ru/c/vse-igrovye-pristavki/f/281475528/	-6.0
